model,family,access,trials,correctness,cost_usd,input_tokens,output_tokens,total_tokens,total_turns,errors
claude-fable-5,Claude,docs,27,1.000000,51.966557,23852574,263476,24116050,701,0
claude-haiku-4-5-20251001,Claude,docs,27,0.259259,12.048368,29520908,373241,29894149,752,0
claude-opus-4-8,Claude,docs,27,0.962963,41.393038,36805129,410750,37215879,843,1
claude-sonnet-5,Claude,docs,27,1.000000,47.968990,79526225,382996,79909221,1149,0
gpt-5.4-mini-2026-03-17,GPT,docs,27,1.000000,14.538369,81342181,512445,81854626,765,0
gpt-5.6-luna,GPT,docs,27,0.925926,7.515890,41674582,196574,41871156,688,0
gpt-5.6-sol,GPT,docs,27,1.000000,27.526524,29857018,154938,30011956,618,0
gpt-5.6-terra,GPT,docs,27,1.000000,15.705040,33978671,139966,34118637,601,0
claude-fable-5,Claude,mcp,27,1.000000,49.695997,25161501,230090,25391591,574,0
claude-haiku-4-5-20251001,Claude,mcp,27,0.444444,9.770531,56412531,418411,56830942,1177,0
claude-opus-4-8,Claude,mcp,27,0.962963,37.347130,36642428,350150,36992578,672,0
claude-sonnet-5,Claude,mcp,27,1.000000,37.095629,80291641,363303,80654944,967,0
gpt-5.4-mini-2026-03-17,GPT,mcp,27,0.962963,13.951116,78529431,502083,79031514,762,0
gpt-5.6-luna,GPT,mcp,27,1.000000,6.427461,34407419,173302,34580721,601,0
gpt-5.6-sol,GPT,mcp,27,0.962963,27.859292,30086554,159743,30246297,623,0
gpt-5.6-terra,GPT,mcp,27,1.000000,14.569147,30321511,136072,30457583,572,0
